    ,used_algorithm                                   ,name_of_src_file           ,full_cost         ,hamiltonian_cycle_cost,best_way
4570,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_40_N_5.json ,3667.6429210501246,3667.642921050125     ,"[0, 3, 2, 1, 4, 0]"
4571,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_41_N_5.json ,3874.1253895549935,3874.125389554995     ,"[0, 2, 1, 3, 4, 0]"
4572,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_42_N_5.json ,2300.10555688904  ,2300.10555688904      ,"[0, 3, 2, 4, 1, 0]"
4573,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_43_N_5.json ,2595.394828264836 ,2595.394828264836     ,"[0, 1, 3, 2, 4, 0]"
4574,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_44_N_5.json ,2936.3642931379254,2936.3642931379254    ,"[0, 1, 2, 4, 3, 0]"
4575,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_45_N_5.json ,4603.734697889531 ,4603.734697889531     ,"[0, 1, 2, 3, 4, 0]"
4576,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_46_N_5.json ,4427.24819425709  ,4427.24819425709      ,"[0, 3, 2, 1, 4, 0]"
4577,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_47_N_5.json ,4428.864794282802 ,4428.864794282802     ,"[0, 1, 4, 2, 3, 0]"
4578,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_48_N_5.json ,4831.559589385382 ,4831.559589385382     ,"[0, 2, 1, 4, 3, 0]"
4579,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_49_N_5.json ,4152.008736756215 ,4152.008736756215     ,"[0, 3, 2, 1, 4, 0]"
4580,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_50_N_5.json ,5544.378961801013 ,5544.378961801014     ,"[0, 2, 4, 1, 3, 0]"
4581,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_51_N_5.json ,2949.042966815582 ,2949.042966815582     ,"[0, 2, 4, 1, 3, 0]"
4582,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_52_N_5.json ,3744.5611275990327,3744.561127599033     ,"[0, 2, 3, 1, 4, 0]"
4583,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_53_N_5.json ,3647.340659315337 ,3647.340659315337     ,"[0, 2, 1, 3, 4, 0]"
4584,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_54_N_5.json ,4855.021285590705 ,4855.021285590705     ,"[0, 1, 2, 3, 4, 0]"
